Gene	Paralogs
AC108941.2	SULT1E1
AC109583.3	PRSS45
AC112128.1	SPICE1
AC112229.3	LIMS1,LIMS2,LIMS3,LIMS3-LOC440895,LIMS4
AC113348.2	ZNF354A
AC114490.2	ZMYM4
AC115220.1	ZNF254,ZNF486,ZNF492,ZNF506,ZNF676,ZNF679,ZNF708,ZNF714,ZNF716,ZNF726,ZNF728,ZNF735,ZNF90
AC116366.3	RAD50
AC117378.1	PRIM1
AC117457.1	KCNMB1,KCNMB2
AC118553.2	MFSD14A
AC119396.1	AKAP13
AC119674.2	PLPP3
AC124312.1	SNURF
AC126283.2	CFI
AC126755.2	NPIPA1,NPIPA2,NPIPA3,NPIPA5,NPIPA7,NPIPA8,NPIPB11,NPIPB12,NPIPB13,NPIPB15,NPIPB2,NPIPB3,NPIPB4,NPIPB5,NPIPB6,NPIPB7,NPIPB8,NPIPB9,PKD1P1
AC126755.4	AC138969.2
AC127029.3	CSH1,CSH2,CSHL1,GH1,GH2
AC129492.3	VAMP2
AC131160.1	PARL
AC133551.1	AC136612.1,TP53TG3,TP53TG3B,TP53TG3C,TP53TG3D,TP53TG3E,TP53TG3F
AC134669.1	EVI2A
AC134684.11	AC084121.11,AC084121.12,AC084121.13,AC084121.5,AC084121.6,AC084121.7,AC084121.8,AC084121.9,AC134684.8,AC134684.9,FAM90A1,FAM90A26
AC134684.8	AC084121.11,AC084121.12,AC084121.13,AC084121.5,AC084121.6,AC084121.7,AC084121.8,AC084121.9,AC134684.11,AC134684.9,FAM90A1,FAM90A26
AC134684.9	AC084121.11,AC084121.12,AC084121.13,AC084121.5,AC084121.6,AC084121.7,AC084121.8,AC084121.9,AC134684.11,AC134684.8,FAM90A1,FAM90A26
AC134980.3	AC135068.3,AC171558.1,LINC02203,OR4N4
AC135050.2	VKORC1
AC135068.1	AC171558.3,OR4M1,OR4M2
AC135068.2	AC233755.1,IGHV4-28,IGHV4-31,IGHV4-34,IGHV4-39,IGHV4-4,IGHV4-59,IGHV4-61,IGHV4OR15-8
AC135068.3	AC134980.3,AC171558.1,LINC02203,OR4N4
AC135068.8	AC136616.3,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-69,IGHV1-69-2,IGHV1-69D,IGHV1OR15-1,IGHV1OR15-9,IGHV1OR21-1,IGHV5-10-1,IGHV5-51
AC135178.2	RPL26,RPL26L1
AC136352.2	BX072566.1,POTEB,POTEB2,POTEB3,POTEC,POTED,POTEE,POTEF,POTEG,POTEH,POTEI,POTEJ,POTEM
AC136352.3	CXADR
AC136428.1	AC141272.1,IGHV3-16,IGHV3-35,IGHV3OR16-8,IGHV3OR16-9
AC136443.4	AC009167.1
AC136612.1	AC133551.1,TP53TG3,TP53TG3B,TP53TG3C,TP53TG3D,TP53TG3E,TP53TG3F
AC136616.1	SLC6A8
AC136616.2	IGHV3-15,IGHV3-49,IGHV3-72,IGHV3-73,IGHV3OR15-7,IGHV3OR16-12
AC136616.3	AC135068.8,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-69,IGHV1-69-2,IGHV1-69D,IGHV1OR15-1,IGHV1OR15-9,IGHV1OR21-1,IGHV5-10-1,IGHV5-51
AC136698.1	AC048382.4
AC137834.1	R3HDM2
AC138696.1	ZFP41
AC138811.2	ARL6IP1
AC138869.2	AC138907.3
AC138894.1	CLN3
AC138907.2	AC145350.4
AC138907.3	AC138869.2
AC138907.7	AC141257.2
AC138969.2	AC126755.4
AC139491.7	FAM153A,FAM153B
AC139530.2	SLC25A10
AC139834.1	AC140134.2
AC140134.2	AC139834.1
AC140504.1	MPV17L
AC141257.2	AC138907.7
AC141272.1	AC136428.1,IGHV3-16,IGHV3-35,IGHV3OR16-8,IGHV3OR16-9
AC141586.2	AC093525.5
AC142391.1	ECSCR
AC144573.1	ADRB3
AC145350.4	AC138907.2
AC159540.2	AC092683.1
AC171558.1	AC134980.3,AC135068.3,LINC02203,OR4N4
AC171558.3	AC135068.1,OR4M1,OR4M2
AC233755.1	AC135068.2,IGHV4-28,IGHV4-31,IGHV4-34,IGHV4-39,IGHV4-4,IGHV4-59,IGHV4-61,IGHV4OR15-8
AC233755.2	IGHV3-13,IGHV3-20,IGHV3-23,IGHV3-38,IGHV3-43,IGHV3-53,IGHV3-64,IGHV3-64D,IGHV3-66,IGHV3OR16-10
AC235565.2	TCP11X2
AC239585.1	AC245177.1
AC239799.1	NOTCH2NLA
AC240274.1	NBPF1,NBPF10,NBPF11,NBPF12,NBPF14,NBPF15,NBPF19,NBPF20,NBPF26,NBPF3,NBPF4,NBPF6,NBPF9
AC243756.1	PPIA,PPIAL4A,PPIAL4C,PPIAL4D,PPIAL4E,PPIAL4F,PPIAL4G
AC243967.1	CEACAM1,CEACAM3,CEACAM5,CEACAM6,CEACAM7,CEACAM8,PSG1,PSG11,PSG2,PSG3,PSG4,PSG5,PSG6,PSG7,PSG8,PSG9
AC244197.3	IDS
AC245033.1	CPEB1
AC245177.1	AC239585.1
AC245748.1	ZNF112
AC253536.7	DDT,DDTL
ACAA1	HADHB
ACAA2	ACAT1
ACAT1	ACAA2
ACBD3	TMED8
ACER1	ACER2,ACER3
ACER2	ACER1,ACER3
ACER3	ACER1,ACER2
ACKR2	CCR1,CCR3,CCRL2
ACKR4	CCR9
ACOT1	ACOT2,ACOT4,ACOT6
ACOT2	ACOT1,ACOT4,ACOT6
ACOT4	ACOT1,ACOT2,ACOT6
ACOT6	ACOT1,ACOT2,ACOT4
ACSL1	AC026398.1
ACSM2A	ACSM2B
ACSM2B	ACSM2A
ACTA2	ACTG2
ACTG2	ACTA2
ACTN2	ACTN3
ACTN3	ACTN2
ACTR3B	ACTR3C
ACTR3C	ACTR3B
ACY1	ABHD14A-ACY1
ACY3	ASPA
ACYP1	ACYP2
ACYP2	ACYP1
AD000671.1	PSENEN
AD000671.2	U2AF1,U2AF1L4,U2AF1L5
ADA	ADAL
ADAL	ADA
ADCYAP1	GHRH
ADH1A	ADH1B,ADH1C
ADH1B	ADH1A,ADH1C
ADH1C	ADH1A,ADH1B
ADHFE1	AC009879.2,AC009879.3
ADM	ADM2
ADM2	ADM
ADNP	ADNP2
ADNP2	ADNP
ADORA2A	ADORA2B
ADORA2B	ADORA2A
ADPRH	ADPRHL1
ADPRHL1	ADPRH
ADRB3	AC144573.1
ADSS	ADSSL1
ADSSL1	ADSS
AES	TLE2
AF241726.2	TSPAN7
AFAP1	AFAP1L2
AFAP1L2	AFAP1
AFF1	AFF4
AFF2	AFF3
AFF3	AFF2
AFF4	AFF1
AFM	AFP,ALB,GC
AFP	AFM,ALB,GC
AFTPH	CLBA1
AGA	TASP1
AGAP4	AGAP5,AGAP6,AGAP9
AGAP5	AGAP4,AGAP6,AGAP9
AGAP6	AGAP4,AGAP5,AGAP9
AGAP9	AGAP4,AGAP5,AGAP6
AGGF1	AC008581.2
AGPAT1	AGPAT2
AGPAT2	AGPAT1
AGPAT3	AGPAT4
AGPAT4	AGPAT3
AGPAT5	LPGAT1
AGR2	AGR3,TXNDC12
AGR3	AGR2,TXNDC12
AGRP	ASIP
AGTR1	AGTR2,BDKRB1
AGTR2	AGTR1,BDKRB1
AGXT	PSAT1
AHCYL1	AHCYL2
AHCYL2	AHCYL1
AHR	AC019117.2
AHSG	KNG1
AIF1	AIF1L
AIF1L	AIF1
AIM2	IFI16,MNDA,PYHIN1
AIP	AIPL1
AIPL1	AIP
AKAP13	AC119396.1
AKAP2	PALM2-AKAP2
AKAP3	AKAP4,SPHKAP
AKAP4	AKAP3,SPHKAP
AKAP6	CEP68
AKAP8	AKAP8L,ZNF326
AKAP8L	AKAP8,ZNF326
AKAP9	PCNT
AKNA	AKNAD1,AL449266.1
AKNAD1	AKNA,AL449266.1
AKR1B1	AKR1E2
AKR1C1	AKR1C3
AKR1C3	AKR1C1
AKR1E2	AKR1B1
AL020996.2	SELENON
AL021546.1	GATC
AL022238.4	GVQW2
AL022318.4	APOBEC3C,APOBEC3D,APOBEC3F
AL031281.2	CDC42
AL031315.1	WDR27
AL031708.1	CRAMP1
AL031777.3	HIST1H2AB,HIST1H2AC,HIST1H2AE,HIST3H2A
AL031847.2	RPL22
AL033529.1	C17orf113,ZBTB8B
AL035078.4	RCN1,RCN3
AL035460.1	C20orf141
AL049557.1	INKA1,INKA2
AL049629.2	CD59
AL049650.1	ZNF343
AL049697.1	CFAP206
AL049844.3	LTV1
AL050303.1	FP475955.2
AL080251.1	IFFO1,IFFO2
AL096711.2	MTCL1,SOGA3
AL096870.1	RIPK3
AL109827.1	NFS1
AL110118.2	UBR7
AL117339.5	ZNF37A
AL117348.2	PYCR1,PYCR2
AL121594.1	KIAA0391
AL121753.1	EIF6
AL121845.2	LIME1
AL121845.3	ZGPAT
AL121900.2	DTD1,DTD2
AL132671.2	GOPC
AL132780.3	HAUS4
AL133352.1	NDUFB8
AL133353.2	COX15
AL133500.1	HDAC8
AL136295.1	AL136295.4,TM9SF1
AL136295.3	DCAF11
AL136295.4	AL136295.1,TM9SF1
AL136295.5	RNF31
AL136454.1	RPS27A
AL138752.2	SHB
AL139011.2	DCAF6,DCAF8,DCAF8L1,DCAF8L2
AL139142.2	ANKRD45
AL139300.1	KLC1
AL157392.5	PRPF18
AL157935.2	ST6GALNAC6
AL159163.1	RNASET2
AL159990.1	AL159990.2
AL159990.2	AL159990.1
AL160269.1	SLC35D2
AL162231.3	IL11RA
AL162417.1	RALGDS
AL353588.1	TMEM151A,TMEM151B
AL355312.5	RAET1E,RAET1G,RAET1L,ULBP1,ULBP2,ULBP3
AL355315.1	AC104662.2,PI4K2A,PI4K2B
AL355916.2	PRKCH
AL355987.1	LCN10,LCN6,LCN8,PAEP
AL357673.1	CYB5RL
AL358075.4	PIK3R3
AL358113.1	TJP2
AL358472.6	RAB13
AL358472.7	JTB
AL359258.1	AL390038.1
AL359736.1	ARHGEF9,SPATA13
AL359922.1	MTAP
AL360181.3	MTG1
AL365205.1	PRICKLE4
AL365214.3	RFPL4B
AL365232.1	DPPA5,KHDC1,KHDC1L
AL390038.1	AL359258.1
AL445685.3	KTI12
AL449266.1	AKNA,AKNAD1
AL451062.3	KDM4A
AL512428.1	RIPOR2
AL512506.3	LACC1
AL512785.2	C1orf226,NOS1AP
AL583836.1	CYP2C18
AL590132.1	AC092017.3,KCNH1
AL590764.2	IL2RG
AL592183.1	FRG1
AL592490.1	PCDH20
AL603832.3	RHOB
AL645922.1	CFB
AL645941.2	HLA-DMB
AL662864.1	PABPC1L2B-AS1
AL662899.1	LY6G6E
AL662899.2	LY6G5B
AL669918.1	TAP2
AL672142.1	NUP188
AL691442.1	EFNA3
AL772284.2	CT47A1,CT47A10,CT47A11,CT47A12,CT47A2,CT47A3,CT47A4,CT47A5,CT47A6,CT47A7,CT47A8,CT47A9,CT47B1
AL807752.7	PTGDS
AL845331.2	AQP7
AL928654.3	CRIP1
ALB	AFM,AFP,GC
ALDH2	AC002996.1
ALDOA	AC093512.2,ALDOB
ALDOB	AC093512.2,ALDOA
ALG1	ALG1L,ALG1L2
ALG10	ALG10B
ALG10B	ALG10
ALG12	ALG9,AP001781.2
ALG1L	ALG1,ALG1L2
ALG1L2	ALG1,ALG1L
ALG5	DPM1
ALG6	ALG8
ALG8	ALG6
ALG9	ALG12,AP001781.2
ALMS1	C10orf90,CEP295,CEP295NL
ALPG	ALPI,ALPP
ALPI	ALPG,ALPP
ALPP	ALPG,ALPI
AMDHD2	AC093525.1
AMER1	AMER2,AMER3
AMER2	AMER1,AMER3
AMER3	AMER1,AMER2
AMIGO1	AMIGO2
AMIGO2	AMIGO1
AMMECR1	AMMECR1L
AMMECR1L	AMMECR1
AMPD1	AMPD3
AMPD3	AMPD1
AMPH	BIN2
AMY1A	AMY1B,AMY1C,AMY2A,AMY2B
AMY1B	AMY1A,AMY1C,AMY2A,AMY2B
AMY1C	AMY1A,AMY1B,AMY2A,AMY2B
AMY2A	AMY1A,AMY1B,AMY1C,AMY2B
AMY2B	AMY1A,AMY1B,AMY1C,AMY2A
AMZ1	AMZ2
AMZ2	AMZ1
ANAPC10	AC098588.1
ANAPC7	CDC16
ANKDD1A	ANKDD1B
ANKDD1B	ANKDD1A
ANKHD1	ANKHD1-EIF4EBP3,ANKRD17
ANKHD1-EIF4EBP3	ANKHD1,ANKRD17
ANKRD1	ANKRD2
ANKRD13A	ANKRD13C
ANKRD13B	ANKRD13D
ANKRD13C	ANKRD13A
ANKRD13D	ANKRD13B
ANKRD16	ASB1
ANKRD17	ANKHD1,ANKHD1-EIF4EBP3
ANKRD18A	FAM95C
ANKRD2	ANKRD1
ANKRD20A1	ANKRD20A2,ANKRD20A3,ANKRD20A4
ANKRD20A2	ANKRD20A1,ANKRD20A3,ANKRD20A4
ANKRD20A3	ANKRD20A1,ANKRD20A2,ANKRD20A4
ANKRD20A4	ANKRD20A1,ANKRD20A2,ANKRD20A3
ANKRD28	ANKRD44
ANKRD29	ASB12
ANKRD30A	ANKRD30B
ANKRD30B	ANKRD30A
ANKRD33	ANKRD33B
ANKRD33B	ANKRD33
ANKRD34A	ANKRD34B
ANKRD34B	ANKRD34A
ANKRD34C	ASZ1
ANKRD35	ZDHHC13,ZDHHC17
ANKRD36	ANKRD36B,ANKRD36C
ANKRD36B	ANKRD36,ANKRD36C
ANKRD36C	ANKRD36,ANKRD36B
ANKRD37	ANKRD42
ANKRD40	ANKRD40CL
ANKRD40CL	ANKRD40
ANKRD42	ANKRD37
ANKRD44	ANKRD28
ANKRD45	AL139142.2
ANKRD52	ANKRD55
ANKRD55	ANKRD52
ANKS4B	USH1G
ANO7	PPP1R7
ANP32A	ANP32B,ANP32D
ANP32B	ANP32A,ANP32D
ANP32D	ANP32A,ANP32B
ANXA8	ANXA8L1
ANXA8L1	ANXA8
AOC2	AOC3
AOC3	AOC2
AP000275.2	CFAP298
AP000295.1	IFNAR2
AP000311.1	ATP5PO
AP000350.4	SLC2A11
AP000646.1	TBCE,TBCEL
AP000781.2	PRG2,PRG3
AP000812.4	LRTOMT
AP000944.2	POLA2
AP001267.5	KMT2A
AP001273.2	MED17
AP001458.2	C11orf98
AP001631.1	FP236240.1
AP001781.2	ALG12,ALG9
AP002373.1	RBM11,RBM7
AP002495.1	L34079.1,XRCC1
AP002512.3	OR5AK2,OR5M3,OR5M9
AP002748.4	BBS1
AP002884.3	SDHD
AP002990.1	TUT1
AP003108.2	SDHAF2
AP003419.1	POLD4
AP1G1	AP1G2
AP1G2	AP1G1
AP1S1	AP1S2
AP1S2	AP1S1
AP2A1	AP2A2
AP2A2	AP2A1
AP3S1	AP3S2
AP3S2	AP3S1
APBB1	APBB2
APBB2	APBB1
APC	AC008575.1,APC2
APC2	AC008575.1,APC
APCDD1	APCDD1L
APCDD1L	APCDD1
APCS	CRP
APEX1	APEX2
APEX2	APEX1
APH1A	APH1B
APH1B	APH1A
APLP1	APP
APOA1	APOA4,APOA5
APOA4	APOA1,APOA5
APOA5	APOA1,APOA4
APOBEC3A	APOBEC3B
APOBEC3B	APOBEC3A
APOBEC3C	AL022318.4,APOBEC3D,APOBEC3F
APOBEC3D	AL022318.4,APOBEC3C,APOBEC3F
APOBEC3F	AL022318.4,APOBEC3C,APOBEC3D
APOC4	APOC4-APOC2
APOC4-APOC2	APOC4
APOL1	APOL2,APOL3,APOL4,APOL5,APOL6
APOL2	APOL1,APOL3,APOL4,APOL5,APOL6
APOL3	APOL1,APOL2,APOL4,APOL5,APOL6
APOL4	APOL1,APOL2,APOL3,APOL5,APOL6
APOL5	APOL1,APOL2,APOL3,APOL4,APOL6
APOL6	APOL1,APOL2,APOL3,APOL4,APOL5
APOO	APOOL
APOOL	APOO
APP	APLP1
AQP1	AC004691.2
AQP11	AQP12A,AQP12B
AQP12A	AQP11,AQP12B
AQP12B	AQP11,AQP12A
AQP7	AL845331.2
ARF1	AC073610.2,AC073610.3,ARF3
ARF3	AC073610.2,AC073610.3,ARF1
ARFIP1	ARFIP2
ARFIP2	ARFIP1
ARG1	ARG2
ARG2	ARG1
ARHGAP11A	AC091057.6,ARHGAP11B
ARHGAP11B	AC091057.6,ARHGAP11A
ARHGAP12	ARHGAP27
ARHGAP15	ARHGAP9
ARHGAP19	ARHGAP19-SLIT1
ARHGAP19-SLIT1	ARHGAP19
ARHGAP22	ARHGAP24
ARHGAP24	ARHGAP22
ARHGAP27	ARHGAP12
ARHGAP36	ARHGAP6
ARHGAP4	SRGAP3
ARHGAP45	GMIP
ARHGAP6	ARHGAP36
ARHGAP8	PRR5-ARHGAP8
ARHGAP9	ARHGAP15
ARHGDIA	ARHGDIB,ARHGDIG
ARHGDIB	ARHGDIA,ARHGDIG
ARHGDIG	ARHGDIA,ARHGDIB
ARHGEF10	ARHGEF10L
